checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,tanh_saturation_applicable,tanh_generated_candidate_fraction,scaled_boundary_or_outside_fraction,out_of_envelope_fraction,finite,model_family,teacher_kind
200000,1101,actor_local,fixed_state_mirror,7,4,1,33.035823822021484,38.225345611572266,1,1,5.782711029052734,5.782711029052734,1.4668426513671875,1.0,1.0,-4.315868377685547,1.0,6,6.776344299316406,3.9896697998046875,3.9896697998046875,6.380496978759766,0.8333333333333334,6,0.8,1.0,3.394742747356816,0.8928857182070392,0.03125,1,1.0,0.03125,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,0,16,1,1424.2618408203125,1419.7420654296875,0,14,0.0,-0.2440185546875,3.703857421875,0.0,0.0,3.9478759765625,0.75,120,15.908447265625,18.7216796875,15.7313232421875,15.852203369140625,0.5083333333333333,120,0.058823529411764705,0.0,1.5973896864480217,0.38150813079481843,0.21614583333333334,1,1.0,0.21614583333333334,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,1,16,1,1734.462158203125,1741.6109619140625,11,13,3.3680419921875,1.7958984375,2.2646484375,0.533217353484832,0.533217353484832,0.46875,0.6916666666666667,120,6.39202880859375,6.1829833984375,5.3905029296875,6.260040283203125,0.6166666666666667,120,0.27647058823529413,0.0,3.083011142390582,0.6912243889955214,0.013020833333333334,1,1.0,0.013020833333333334,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,2,16,1,100.20008087158203,113.49263000488281,12,12,10.491035461425781,10.491035461425781,2.3369216918945312,1.0,1.0,-8.15411376953125,0.6166666666666667,120,2.730854034423828,2.0511245727539062,2.0511245727539062,3.5765180587768555,0.6416666666666667,120,0.3558823529411765,1.0,2.868441470100269,0.7335554679784051,0.0546875,1,1.0,0.0546875,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,3,16,1,1605.04248046875,1605.4998779296875,0,14,0.0,-2.00439453125,0.6607666015625,0.0,0.0,2.6651611328125,0.35,120,2.49554443359375,3.578369140625,0.355712890625,3.2207107543945312,0.725,120,0.6147058823529412,0.0,2.626321189997059,0.8944107265571889,0.06510416666666667,1,1.0,0.06510416666666667,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,4,16,1,1445.7918701171875,1426.8839111328125,0,10,0.0,-0.9554443359375,0.068115234375,0.0,0.0,1.0235595703125,0.85,120,3.7196044921875,3.4578857421875,3.8935546875,3.809600830078125,0.6333333333333333,120,0.4470588235294118,0.0,2.2207352290193003,0.6808350011979515,0.20052083333333334,1,1.0,0.20052083333333334,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,5,16,1,1530.068603515625,1526.2249755859375,13,15,1.924560546875,0.6104736328125,1.6778564453125,0.3172015730052011,0.3172015730052011,1.0673828125,0.7416666666666667,120,1.87725830078125,1.73828125,2.60009765625,2.0601272583007812,0.6083333333333333,120,0.35294117647058826,0.0,2.554320803502529,0.536939904314286,0.06770833333333333,1,1.0,0.06770833333333333,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,6,16,1,899.4703979492188,900.4203491210938,6,2,2.27117919921875,2.1229248046875,7.065673828125,0.9347236032356023,0.9347236032356023,4.9427490234375,0.6,120,8.66363525390625,5.66534423828125,7.3978271484375,8.428611755371094,0.7166666666666667,120,0.5941176470588235,0.0,2.0093484013209264,0.3433335277461148,0.3203125,1,1.0,0.3203125,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,7,16,1,33.035823822021484,38.225345611572266,12,12,8.606666564941406,8.606666564941406,1.5649223327636719,1.0,1.0,-7.041744232177734,0.475,120,7.61433219909668,0.001895904541015625,0.001895904541015625,7.373566627502441,0.7333333333333333,120,0.5911764705882353,1.0,3.0634993390070937,0.7628135486306257,0.049479166666666664,1,1.0,0.049479166666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,0,64,1,1424.2618408203125,1419.7420654296875,49,14,2.2470703125,-0.2440185546875,3.703857421875,-0.10859408952629292,0.0,3.9478759765625,0.6577380952380952,2016,15.8743896484375,18.7216796875,15.4822998046875,15.626607894897461,0.5183531746031746,2016,0.04326923076923077,0.0,1.7059705075215494,0.42829496114451515,0.203125,1,1.0,0.203125,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,1,64,1,1734.462158203125,1741.6109619140625,33,26,6.7099609375,1.851806640625,3.799560546875,0.2759787512734682,0.2759787512734682,1.94775390625,0.6689826302729529,2015,6.70587158203125,7.2177734375,1.8304443359375,6.7055206298828125,0.5732009925558312,2015,0.2261701713766697,0.0,3.0943244433257813,0.62872369203037,0.02734375,1,1.0,0.02734375,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,2,64,1,100.20008087158203,113.49263000488281,57,12,13.196044921875,10.491035461425781,2.3369216918945312,0.7950136213946088,0.7950136213946088,-8.15411376953125,0.6240079365079365,2016,2.278545379638672,2.0511245727539062,0.59759521484375,2.850873589515686,0.6428571428571429,2016,0.41845238095238096,0.0,2.885616140691373,0.6890732341175643,0.05859375,1,1.0,0.05859375,0.0,1,matched_dsrl_na,native_online_qa
